"task_type","primary_resource","secondary_resource","fallback_resource","source_skills"
"Fit nonlinear mixed-effects population PK models to a single concentration-time dataset.","nlmixr2 and rxode2;User-supplied therapeutic target window","LiteratureSearch;nlmixr2data public example datasets","No-dose result with a request for a target window;PK-only workflow","pkpd-pharmacometrics"
"Flag PAINS and Brenk/NIH structural alerts.","ADMET-AI;ChEMBL approved small-molecule reference set;RDKit","adjustText;seaborn and matplotlib","Absolute ADMET predictions without percentiles;Physicochemical-and-drug-likeness-only analysis;PNG figures","molecular-property-admet"
"Functional consequence annotation of germline or somatic VCF variants","Ensembl Variant Effect Predictor","SnpEff","","genetic-variant-annotation"
"Generate differential-expression tables, quality-control plots, reusable analysis objects, and a scientific report.","Packaged R scripts for data loading, limma/DEqMS analysis, quality-control plotting, and export.;User-supplied TMT or LFQ protein intensity, PSM, and metadata files.","A431 TMT 10-plex example dataset loaded through ExperimentHub.;Detailed method and normalization guidance in the packaged references.","Base R SVG device.;Packaged RMarkdown, HTML, or script reporting fallback.","proteomics-diff-exp"
"Generate factor scores for patient stratification, clinical association, or survival analysis.","MOFA2","ComplexHeatmap;ggprism, circlize, reshape2, and RColorBrewer;MOFAdata CLL example","Analysis without trait plots;PNG-only figures;Reduced factor count;Top 5,000 most variable features per view","multi-omics-integration"
"Generate image, Excel, and CSV plate maps for bench use.","designit;ggplate;pwr","agricolae;openxlsx;plater","A different random seed, more iterations, or another spatial method;Base R SVG export or PNG-only output;CSV-only export","microplate-layout-design"
"Group bulk-omics samples into data-driven subtypes.","User-provided normalized quantitative matrix","Bioconductor ALL demonstration dataset","","bulk-omics-clustering"
"Handle edge effects by reserving outer wells or strategically placing controls.","designit;ggplate;pwr","agricolae;openxlsx;plater","A different random seed, more iterations, or another spatial method;Base R SVG export or PNG-only output;CSV-only export","microplate-layout-design"
"Hit triage and scaffold-aware preliminary SAR summarization","AutoDock Vina with a native-ligand-defined or explicitly specified docking box","DUD-E-style labeled actives and decoys","Single-machine local docking","large-scale-virtual-screening"
"Humanize a non-human paired variable fragment by comparing human framework acceptors.","Local NetMHCIIpan","Hosted IEDB prediction API","Unavailable immunogenicity axis","antibody-developability-humanization"
"Hunt contradictions, null results, and rescue evidence.","Directly accessible publisher or repository PDFs;User-supplied PDFs","Europe PMC","Abstract or provider-text context","literature-deep-review"
"Identify and rank candidate target genes for a specific transcription factor across public ChIP-seq experiments.","Precomputed ChIP-Atlas target-gene TSV files.","STRING interaction-score columns embedded in the ChIP-Atlas TSV.","Binding-score results without STRING support.","chip-atlas-target-genes"
"Identify differentially abundant taxa using a three-method consensus.","ANCOM-BC2;ExplorEnz, IUBMB Enzyme Nomenclature, or Rhea;PICRUSt2","ALDEx2;MaAsLin2;scikit-bio","DADA2 or Deblur;Subject-mean Wilcoxon sensitivity analysis","microbiome-analysis"
"Identify differentially methylated regions from two Bisulfite-seq experiment groups.","ChIP-Atlas Diff Analysis API and its public experiment data.","UCSC REST gene annotation.","Unannotated statistical region results.","chip-atlas-diff-analysis"
"Identify features that change monotonically or non-monotonically along the trajectory.","User-supplied longitudinal omics matrix and patient metadata","GSE128959 bladder-cancer recurrence dataset","","disease-progression-longitudinal"
"Identify gene modules associated with experimental conditions or phenotypes.","User-supplied normalized expression matrix and matched sample metadata","Female mouse liver example dataset","An alternative analysis method","coexpression-network"
"Identify ligand-receptor interactions among annotated cell types.","CellChat v2","Seurat","Packaged Markdown or HTML report fallback","cell-cell-communication"
"Identify shared sources of variation across multiple omics layers.","MOFA2","ComplexHeatmap;ggprism, circlize, reshape2, and RColorBrewer;MOFAdata CLL example","Analysis without trait plots;PNG-only figures;Reduced factor count;Top 5,000 most variable features per view","multi-omics-integration"
"Identify spatially variable genes across a tissue section.","User-provided 10x Visium data","10x Genomics V1_Human_Heart example","","spatial-transcriptomics"
"Identify transcription factors or chromatin regulators enriched near a gene set.","Official ChIP-Atlas Enrichment Analysis API and public ChIP-seq experiments.","Ensembl coordinate lookup.","ChIP-Atlas enrichment results without independent Ensembl coordinate verification.","chip-atlas-peak-enrichment"
"Impact-, rarity-, and gene-based variant prioritization","Ensembl Variant Effect Predictor","SnpEff","","genetic-variant-annotation"
"Infer curated microbial metabolite-module potential.","ANCOM-BC2;ExplorEnz, IUBMB Enzyme Nomenclature, or Rhea;PICRUSt2","ALDEx2;MaAsLin2;scikit-bio","DADA2 or Deblur;Subject-mean Wilcoxon sensitivity analysis","microbiome-analysis"
"Infer pseudotime, branching structure, terminal fates, trajectory-associated genes, RNA velocity, and CellRank fate probabilities from preprocessed single-cell data.","Preprocessed AnnData with PCA, UMAP, clusters, and annotations","Spliced and unspliced count layers","Scanpy PAGA and diffusion pseudotime","scrna-trajectory-inference"
"Infer transcription-factor target relationships from single-cell expression.","Species-matched SCENIC motif rankings, motif annotations, and TF list","PBMC 3k example data","","grn-pyscenic"
"Ingest indexed fragment files, perform chromatin-accessibility QC and dimensionality reduction, cluster cells, recall peaks per cluster, annotate from gene activity, and test differential accessibility.","Indexed fragment file","Peak-by-barcode or multiome feature-barcode matrix","Fragment-derived cell calling, peak recall, and QC","scatac-multiome-analysis"
"Integrate binding enrichment, target overlap, and directionality into a combined regulatory score.","ChIP-Atlas;User-provided bulk differential-expression table","Estrogen-response or airway example differential-expression data","Synthetic TP53-driven differential-expression data","upstream-regulator-analysis"
"Integrate multiple batches, annotate cell types, and compare conditions with pseudobulk differential expression when replicate requirements are met.","Scanpy and AnnData","scVI, scANVI, Harmony, CellTypist, Scrublet, and PyDESeq2","Backed mode or subsampling","scrnaseq-scanpy-core-analysis"
"Integrate multiple batches, identify cell populations, annotate cell types, and compare conditions with replicated pseudobulk analysis.","Seurat v5","Harmony, Seurat CCA or RPCA, DoubletFinder, SoupX, SingleR, and DESeq2","LogNormalize","scrnaseq-seurat-core-analysis"
"Integrate views with incomplete sample overlap.","MOFA2","ComplexHeatmap;ggprism, circlize, reshape2, and RColorBrewer;MOFAdata CLL example","Analysis without trait plots;PNG-only figures;Reduced factor count;Top 5,000 most variable features per view","multi-omics-integration"
"Known-target enrichment or seed-recovery face-validity checking","PrimeKG with Open Targets genetic-association seeds and clinical labels","PrimeKG with DisGeNET-derived seeds and optional TxGNN layer","Seed-recovery face-validity check","knowledge-graph-target-reasoning"
"Labeled-library enrichment benchmarking with ROC-AUC, enrichment factor, and BEDROC","AutoDock Vina with a native-ligand-defined or explicitly specified docking box","DUD-E-style labeled actives and decoys","Single-machine local docking","large-scale-virtual-screening"
"Loss-of-function constraint gating for candidate genes","gnomAD v2.1.1 loss-of-function constraint","gnomAD v4.1 constraint","Explicit unavailable constraint row","genetic-constraint-gating"
"Map the competitive trial landscape across therapeutic mechanisms for a disease.","ClinicalTrials.gov API v2 live data","A disease-specific mechanism configuration","Cached inflammatory-bowel-disease demonstration snapshot","clinicaltrials-landscape"
"Measure mutation, amplification, deep-deletion, and combined alteration frequencies by cancer type.","cBioPortal public REST API","Literature search","","cancer-cohort-genomics"
"Meta-analyze disease-versus-control differential expression across independent cohorts and platforms.","Independent human bulk-transcriptome cohorts from GEO;User-supplied expression matrices and metadata","Gene Ontology Biological Process and Reactome pathways;MSigDB Hallmark collection","","consensus-disease-signature"
"Multi-hop evidence-path explanation of ranked targets","PrimeKG with Open Targets genetic-association seeds and clinical labels","PrimeKG with DisGeNET-derived seeds and optional TxGNN layer","Seed-recovery face-validity check","knowledge-graph-target-reasoning"
"Multi-objective scoring and chemistry-aware candidate triage","TDC oracle, QSAR, or AutoDock Vina activity backend","AiZynthFinder","Synthetic accessibility score","generative-molecule-design"
"Native-ligand redocking validation and docking-box quality assessment","AutoDock Vina with a native-ligand-defined or explicitly specified docking box","DUD-E-style labeled actives and decoys","Single-machine local docking","large-scale-virtual-screening"
"Optional functional annotation of fine-mapped variants","SuSiE with ancestry-matched signed LD","GTEx v8, eQTL Catalogue, and ENCODE SCREEN annotations","In-sample LD","fine-mapping-susie"
"Optional top-candidate retrosynthesis feasibility assessment","TDC oracle, QSAR, or AutoDock Vina activity backend","AiZynthFinder","Synthetic accessibility score","generative-molecule-design"
"Optionally model target-degrader-E3 ternary complexes with explicit linker-aware structural methods.","Target and precedent records from ChEMBL, PubChem, UniProt, RCSB PDB, and cited literature","Human Protein Atlas normal-tissue expression","Model-knowledge precedents labeled as not tool-verified","targeted-degrader-design"
"Optionally visualize the dataset landscape by omics type, repository, organism, or time.","BioStudies and ArrayExpress.;CZ CELLxGENE.;GDC and TCGA.;GEO and SRA through NCBI E-utilities.;OmicsDI.;PRIDE and ProteomeXchange.","cBioPortal.;ENCODE and IHEC or EpiRR.;Expression Atlas and Human Protein Atlas.;Human Cell Atlas.;MassIVE/GNPS, jPOST, iProX, and ENA.;MetaboLights and Metabolomics Workbench.","OmicsDI keyword search.;ProteomeCentral.;Targeted searches of dbGaP, EGA, and JGA.;Targeted searches of ICGC, CPTAC, AWS Open Data, UK Biobank, and FinnGen.;Targeted searches of Zenodo, Figshare, Dryad, OSF, Harvard Dataverse, and Synapse.","omics-dataset-retrieval"
"Order longitudinal samples along disease pseudotime despite irregular sampling.","User-supplied longitudinal omics matrix and patient metadata","GSE128959 bladder-cancer recurrence dataset","","disease-progression-longitudinal"
"Over-representation analysis of a selected gene list against an explicit background","MSigDB Hallmark and Reactome gene sets","Gene Ontology Biological Process","Base R SVG graphics device","functional-enrichment-from-degs"
"Package the completed skill for Biomni validation and private-skill preview or save.","Existing Biomni skills, capabilities, tool schemas, installed packages, documented helpers, and mounted data resources.","Dedicated Biomni PDF, Word-document, or presentation generation skills.;External packages, public APIs, and custom scripts.","A minimal package containing SKILL.md only.;Testing an existing user draft.","phylo-create-skill"
"Pairwise clonotype-overlap analysis and optional exploratory group comparison","immunarch 0.9.1","McPAS-TCR or VDJdb","Bounded 10x Genomics demonstration V(D)J samples","immune-repertoire-airr"
"Per-sample immune-repertoire clonality and diversity profiling","immunarch 0.9.1","McPAS-TCR or VDJdb","Bounded 10x Genomics demonstration V(D)J samples","immune-repertoire-airr"
"Perform WES target-aware or WGS whole-genome coverage and call-set QC.","GIAB truth VCF and confident-region BED;User-supplied build-matched reference and capture-kit BED","UCSC or Ensembl reference sequence","GENCODE exon target BED","variant-calling-from-sequencing"
"Power and simulate a two-arm confirmatory design with one primary endpoint.","rpact analytic design calculations.","Package design-methods, validation-guide, configuration-schema, and caveat references.","","clinical-trial-design-simulation"
"Predict a single-chain monomer structure and extract per-residue confidence.","AlphaFold v2;ESMCFold2;UniProt feature table","Boltz-2 or Chai-1;Multiple completed predictors","Boltz-2 then ESMCFold2;Completed partial method output;Omitted domain breakdown with a stated reason","protein-structure-prediction"
"Predict cytochrome P450 inhibition and hERG, AMES, and drug-induced-liver-injury liabilities.","ADMET-AI;ChEMBL approved small-molecule reference set;RDKit","adjustText;seaborn and matplotlib","Absolute ADMET predictions without percentiles;Physicochemical-and-drug-likeness-only analysis;PNG figures","molecular-property-admet"
"Predict functional potential from 16S data.","ANCOM-BC2;ExplorEnz, IUBMB Enzyme Nomenclature, or Rhea;PICRUSt2","ALDEx2;MaAsLin2;scikit-bio","DADA2 or Deblur;Subject-mean Wilcoxon sensitivity analysis","microbiome-analysis"
"Predict post-perturbation expression profiles for held-out perturbations.","Open GEARS-format perturbation dataset;Train-from-base scGPT_human weights","Compatible published fine-tuned checkpoint","Control-mean baseline","virtual-cell-perturbation"
"Process 10X Feature Barcoding data with captured sgRNA feature barcodes.","Non-targeting controls and biological-replicate batch labels;User-supplied 10X Feature-Barcode matrices and sgRNA mapping files","glmGamPoi;Papalexi and Satija 2021 ECCITE-seq CRISPRi dataset","CellRanger or a CROP-seq assignment pipeline;Fast t-test screening results;Small synthetic demo dataset","pooled-crispr-screens"
"Produce a transparent modality scorecard and distinguish the most viable modality from an emerging frontier.","Ligand-bound, high-resolution experimental PDB structure;Open Targets Platform evidence","AlphaFold structural model","Non-structural tractability, clinical, safety, and literature evidence","target-tractability-druggability"
"Produce confidence-band and UniProt-domain-resolved summaries with an auditable report.","AlphaFold v2;ESMCFold2;UniProt feature table","Boltz-2 or Chai-1;Multiple completed predictors","Boltz-2 then ESMCFold2;Completed partial method output;Omitted domain breakdown with a stated reason","protein-structure-prediction"
"Produce literature-grounded scientific interpretation and an optional report.","ANCOM-BC2;ExplorEnz, IUBMB Enzyme Nomenclature, or Rhea;PICRUSt2","ALDEx2;MaAsLin2;scikit-bio","DADA2 or Deblur;Subject-mean Wilcoxon sensitivity analysis","microbiome-analysis"
"Produce shrunken log2 fold changes for ranking and visualization.","User raw count matrix and matching sample metadata","Bioconductor pasilla dataset","edgeR quasi-likelihood;limma-voom","bulk-rnaseq-counts-to-de-deseq2"
"Profile a compound's IC50, Ki, Kd, and optional functional-potency measurements across targets.","ChEMBL public REST API","Primary literature linked to compound mechanism, discovery potency, and selectivity liabilities","","drug-bioactivity-chembl"
"Profile small molecules for physicochemical properties, drug-likeness, and predicted ADMET endpoints.","ADMET-AI;ChEMBL approved small-molecule reference set;RDKit","adjustText;seaborn and matplotlib","Absolute ADMET predictions without percentiles;Physicochemical-and-drug-likeness-only analysis;PNG figures","molecular-property-admet"
"Profile target expression across human tissues in two independent bulk atlases.","Curated GTEx median-TPM resource;Human Protein Atlas tissue expression","GTEx Portal v8 API","Single available atlas","tissue-expression-specificity"
"QC, characterize, release-test, or compare cell-therapy product units measured by single-cell RNA-seq.","CellMarker2 marker panels.","Product-specific literature for identity anchors, maturity axes, pluripotency panels, and threshold grounding.","","cell-therapy-qc-scorecard"
"Quality control, compensation, transformation, and pre-gating of cytometry measurements","CATALYST and FlowSOM","OpenCyto","Descriptive abundance summaries","flow-cytometry-analysis"
"Quantify neighborhood enrichment and distance-dependent co-occurrence between clusters.","User-provided 10x Visium data","10x Genomics V1_Human_Heart example","","spatial-transcriptomics"
"Quantify on-target versus off-target selectivity windows.","ChEMBL public REST API","Primary literature linked to compound mechanism, discovery potency, and selectivity liabilities","","drug-bioactivity-chembl"
"Randomize sample placement to prevent positional confounding.","designit;ggplate;pwr","agricolae;openxlsx;plater","A different random seed, more iterations, or another spatial method;Base R SVG export or PNG-only output;CSV-only export","microplate-layout-design"
"Rank candidates with a transparent heuristic based on precedent, exit-vector quality, beyond-rule-of-five properties, predicted ADMET, and similarity.","Target and precedent records from ChEMBL, PubChem, UniProt, RCSB PDB, and cited literature","Human Protein Atlas normal-tissue expression","Model-knowledge precedents labeled as not tool-verified","targeted-degrader-design"
"Rank compounds for a target-centric ChEMBL query.","ChEMBL public REST API","Primary literature linked to compound mechanism, discovery potency, and selectivity liabilities","","drug-bioactivity-chembl"
"Rank computational candidates by predicted interface confidence and on-target epitope recovery.","Experimental PDB or mmCIF target structure","UniProt or AlphaFold target model","","binder-antibody-design"
"Rank features by their factor weights within each omics view.","MOFA2","ComplexHeatmap;ggprism, circlize, reshape2, and RColorBrewer;MOFAdata CLL example","Analysis without trait plots;PNG-only figures;Reduced factor count;Top 5,000 most variable features per view","multi-omics-integration"
"Rank surface antigens for antibody-based modalities in a defined tumor type.","CZ CELLxGENE Census or user-provided annotated AnnData;Human Protein Atlas dual-signal RNA and IHC baseline","DepMap;Literature search;Open Targets Platform","Curated whole-cell annotated AnnData","cell-surface-antigen-discovery"
"Rank transcription factors that may drive an observed bulk differential-expression signature.","ChIP-Atlas;User-provided bulk differential-expression table","Estrogen-response or airway example differential-expression data","Synthetic TP53-driven differential-expression data","upstream-regulator-analysis"
"Rank-based gene-set enrichment analysis of differential-expression results","MSigDB Hallmark and Reactome gene sets","Gene Ontology Biological Process","Base R SVG graphics device","functional-enrichment-from-degs"
"Reanalyze a pooled CRISPR-knockout proliferation or fitness screen and nominate editing targets.","DepMap broad-essentiality data.;Published screen design, guide library, and experimentally validated CAR-part sources.","A lineage-restricted DepMap subset, published primary-T-cell screen, or pathway enrichment.","Read-driven guide-library reconstruction using the vector anchor and a reference library.","cell-therapy-car-design"
"Recommend sample size under per-gene and FDR-aware power assumptions.","Pilot count data or a DESeq2 object","Bundled tissue-specific coefficient-of-variation database","Default literature-based coefficient of variation 0.4 with sensitivity analysis","experimental-design-statistics"
"Recover a missing guide-to-gene library from sequencing reads before screen analysis.","DepMap broad-essentiality data.;Published screen design, guide library, and experimentally validated CAR-part sources.","A lineage-restricted DepMap subset, published primary-T-cell screen, or pathway enrichment.","Read-driven guide-library reconstruction using the vector anchor and a reference library.","cell-therapy-car-design"
"Reduce expression data to module eigengenes for downstream analysis.","User-supplied normalized expression matrix and matched sample metadata","Female mouse liver example dataset","An alternative analysis method","coexpression-network"
"Report genuine cross-axis conflicts with confidence tiers and mechanistic flags.","DepMap CRISPR gene-effect and dependency matrices;GeneBass, GWAS Catalog, and gnomAD;Open Targets","Primary directional literature","","direction-of-effect-concordance"
"Resolve a molecular target to drugs and perform target-anchored signal detection.","Packaged run_analysis pipeline over OpenFDA/FAERS.;Whole-FAERS background.","Active-comparator drug set.;Literature records and a summary infographic.;Open Targets target-to-drug resolution.","A class or explicit-drug workflow.;Explicit drug list or canonical class synonym.;Packaged scripts as a documented reference.;Tables, figures, and draft report without additive literature or infographic.","pharmacovigilance-ae-signal-detection"
"Resolve gene, disease, or drug names to Open Targets identifiers.","Open Targets Platform GraphQL endpoint.","Open Targets GraphQL playground and current schema.;Open Targets search query.","Open Targets FTP downloads, BigQuery open-targets-prod, or AWS Open Data datasets.;Schema introspection or the GraphQL playground.","open-targets"
"Retrieve exact source sentences with page, section, or figure locators.","Directly accessible publisher or repository PDFs;User-supplied PDFs","Europe PMC","Abstract or provider-text context","literature-deep-review"
"Retrieve target–disease association scores, datatype breakdowns, and supporting evidence.","Open Targets Platform GraphQL endpoint.","Open Targets GraphQL playground and current schema.;Open Targets search query.","Open Targets FTP downloads, BigQuery open-targets-prod, or AWS Open Data datasets.;Schema introspection or the GraphQL playground.","open-targets"
"Retrieve target, disease, and drug annotation profiles using standardized identifiers.","Open Targets Platform GraphQL endpoint.","Open Targets GraphQL playground and current schema.;Open Targets search query.","Open Targets FTP downloads, BigQuery open-targets-prod, or AWS Open Data datasets.;Schema introspection or the GraphQL playground.","open-targets"
"Retrieve the full ClinVar and CIViC record sets for one human gene and reconcile them into a single allele table.","CIViC nightly TSV exports.;ClinVar NCBI E-utilities esearch and esummary records.","Reviewed human UniProt records and structural features.","Allele-position figures without a UniProt domain track, with protein length inferred from the data.;ClinVar-only allelic series with empty CIViC artifacts.","clinical-variant-allelic-series"
"Retrieve variant, GWAS study, credible-set, locus-to-gene, and colocalisation information.","Open Targets Platform GraphQL endpoint.","Open Targets GraphQL playground and current schema.;Open Targets search query.","Open Targets FTP downloads, BigQuery open-targets-prod, or AWS Open Data datasets.;Schema introspection or the GraphQL playground.","open-targets"
"Review scientific correctness, completeness, format fidelity, platform integration, and material licensing constraints, then revise.","Existing Biomni skills, capabilities, tool schemas, installed packages, documented helpers, and mounted data resources.","Dedicated Biomni PDF, Word-document, or presentation generation skills.;External packages, public APIs, and custom scripts.","A minimal package containing SKILL.md only.;Testing an existing user draft.","phylo-create-skill"
"Run a connectivity-map or LINCS disease-signature reversal screen.","Broad Repurposing Hub;LINCS L1000 disease and perturbation signatures","ClinicalTrials.gov;MGI mouse-to-human ortholog mapping","Bundled MGI ortholog fallback table","drug-repurposing-indication-expansion"
"Run a documented manual multimer workflow for protein complexes.","AlphaFold v2;ESMCFold2;UniProt feature table","Boltz-2 or Chai-1;Multiple completed predictors","Boltz-2 then ESMCFold2;Completed partial method output;Omitted domain breakdown with a stated reason","protein-structure-prediction"
"Run a meta-analysis from a user-supplied extraction table.","User-supplied extraction table matching the documented template","Published primary studies identified from a research question","","evidence-synthesis-meta-analysis"
"Scan post-market adverse-event reporting signals for one drug or a pooled explicit drug list.","Packaged run_analysis pipeline over OpenFDA/FAERS.;Whole-FAERS background.","Active-comparator drug set.;Literature records and a summary infographic.;Open Targets target-to-drug resolution.","A class or explicit-drug workflow.;Explicit drug list or canonical class synonym.;Packaged scripts as a documented reference.;Tables, figures, and draft report without additive literature or infographic.","pharmacovigilance-ae-signal-detection"
"Score a trait with published, peer-reviewed PGS Catalog weights.","PGS Catalog score files;User-supplied PLINK genotypes","1000 Genomes Phase 3 example genotypes;PGS Catalog search","Packaged markdown, HTML, or script report;polygenic-risk-score de novo workflow","polygenic-risk-score-prs-catalog"
"Score new small molecules with uncertainty and applicability-domain status.","User-provided labelled assay table","Lipophilicity_AstraZeneca benchmark","Synthetic offline smoke-test generator","adme-ml-modeling"
"Score regulon activity per cell.","Species-matched SCENIC motif rankings, motif annotations, and TF list","PBMC 3k example data","","grn-pyscenic"
"Screen a clinical or user-supplied compound library for novel scaffolds.","EBI ChEMBL bioactivity and clinical or approved compound data","User-supplied SMILES library","Native fingerprint and graph models","binding-affinity-ml-model"
"Search for improved computational methods under an authorized global cost and wall-clock budget.","Protected baseline source and frozen evaluator","External or orthogonal training-safe data","","tusoai"
"Select and fit an optional PD structure from the observed concentration-effect delay.","nlmixr2 and rxode2;User-supplied therapeutic target window","LiteratureSearch;nlmixr2data public example datasets","No-dose result with a request for a target window;PK-only workflow","pkpd-pharmacometrics"
"Select guide RNAs for knockout, activation, inhibition, arrayed screening, or pooled screening.","Validated Addgene sequences and published experimental evidence","CRISPick precomputed designs","De-novo sequence-rule design with Cas-OFFinder or CRISPOR follow-up","sgrna-design"
"Select guides for SpCas9, SaCas9, AsCas12a, or enAsCas12a.","Validated Addgene sequences and published experimental evidence","CRISPick precomputed designs","De-novo sequence-rule design with Cas-OFFinder or CRISPOR follow-up","sgrna-design"
"Select target-binding warheads, E3 recruiters, exit vectors, and linker families from evidence.","Target and precedent records from ChEMBL, PubChem, UniProt, RCSB PDB, and cited literature","Human Protein Atlas normal-tissue expression","Model-knowledge precedents labeled as not tool-verified","targeted-degrader-design"
"Select, inspect, cleanly rebuild, and revalidate finalist methods before delivery.","Protected baseline source and frozen evaluator","External or orthogonal training-safe data","","tusoai"
"Select, simplify, re-evaluate, and reproducibly package finalists.","Frozen benchmark and protected evaluation data","Training-safe literature, ontologies, curated databases, pretrained embeddings, and public datasets","","tusoskill"
"Simulate exposure-response and derive a model-based dose only when an explicit therapeutic target window is available.","nlmixr2 and rxode2;User-supplied therapeutic target window","LiteratureSearch;nlmixr2data public example datasets","No-dose result with a request for a target window;PK-only workflow","pkpd-pharmacometrics"
"Stratify patients by progression rate and relate trajectory position to clinical outcomes.","User-supplied longitudinal omics matrix and patient metadata","GSE128959 bladder-cancer recurrence dataset","","disease-progression-longitudinal"
"Stratify patients by the Cox linear predictor and test the proportional-hazards assumption.","User-provided clinical right-censored survival dataset","NCCTG Lung Cancer example cohort;Rotterdam Breast Cancer example cohort","Rotterdam or Lung built-in cohort","survival-analysis-clinical"
"Structure-based virtual screening with AutoDock Vina","AutoDock Vina with a native-ligand-defined or explicitly specified docking box","DUD-E-style labeled actives and decoys","Single-machine local docking","large-scale-virtual-screening"
"Summarize mean expression and the percentage of expressing cells for a gene panel by cell type in selected tissues.","CZ CELLxGENE Census","User-supplied single-cell AnnData or donor-by-cell-type raw-count matrix","A public repository containing the requested condition","single-cell-census-query"
"Summarize recurrent mutation hotspots or dispersed allele patterns.","cBioPortal public REST API","Literature search","","cancer-cohort-genomics"
"Summarize repository coverage, relevance counts, access constraints, and catalog gaps.","BioStudies and ArrayExpress.;CZ CELLxGENE.;GDC and TCGA.;GEO and SRA through NCBI E-utilities.;OmicsDI.;PRIDE and ProteomeXchange.","cBioPortal.;ENCODE and IHEC or EpiRR.;Expression Atlas and Human Protein Atlas.;Human Cell Atlas.;MassIVE/GNPS, jPOST, iProX, and ENA.;MetaboLights and Metabolomics Workbench.","OmicsDI keyword search.;ProteomeCentral.;Targeted searches of dbGaP, EGA, and JGA.;Targeted searches of ICGC, CPTAC, AWS Open Data, UK Biobank, and FinnGen.;Targeted searches of Zenodo, Figshare, Dryad, OSF, Harvard Dataverse, and Synapse.","omics-dataset-retrieval"
"Summarize the state of the art or recent advances.","","Europe PMC;Unpaywall","Retrieved abstract","literature-review"
"Support a scoped mechanism, direction-of-effect, or target-evidence decision.","Directly accessible publisher or repository PDFs;User-supplied PDFs","Europe PMC","Abstract or provider-text context","literature-deep-review"
"Survey preclinical target–disease evidence.","","Europe PMC;Unpaywall","Retrieved abstract","literature-preclinical"
"Survey what is known about a topic, method, mechanism, target, disease, or technology.","","Europe PMC;Unpaywall","Retrieved abstract","literature-review"
"Synthesize key papers and compare agreements, conflicts, and open gaps.","","Europe PMC;Unpaywall","Retrieved abstract","literature-review"
"Synthesize the evidence landscape for a methodological topic.","","","","methods-landscape-review"
"Target-focused de novo small-molecule generation","TDC oracle, QSAR, or AutoDock Vina activity backend","AiZynthFinder","Synthetic accessibility score","generative-molecule-design"
"Track a mechanism class or sponsor portfolio and summarize phase distribution.","ClinicalTrials.gov API v2 live data","A disease-specific mechanism configuration","Cached inflammatory-bowel-disease demonstration snapshot","clinicaltrials-landscape"
"Train and prospectively assess an ADME regression or binary-classification model.","User-provided labelled assay table","Lipophilicity_AstraZeneca benchmark","Synthetic offline smoke-test generator","adme-ml-modeling"
"Transcriptome-wide association testing from GWAS summary statistics","FUSION TWAS","S-PrediXcan","","gwas-to-function-twas"
"Triage compound selectivity and likely off-target liabilities.","ADMET-AI;ChEMBL measured bioactivity;ECFP4 leave-query-out ligand similarity;Fixed 32-target core safety panel","Adaptive nearest-neighbor panel expansion;DeepPurpose morgan_cnn_bindingdb","","off-target-safety-pharmacology"
"Triage labeled, potentially unlabeled, unknown, noisy, and low-confidence signals.","Packaged run_analysis pipeline over OpenFDA/FAERS.;Whole-FAERS background.","Active-comparator drug set.;Literature records and a summary infographic.;Open Targets target-to-drug resolution.","A class or explicit-drug workflow.;Explicit drug list or canonical class synonym.;Packaged scripts as a documented reference.;Tables, figures, and draft report without additive literature or infographic.","pharmacovigilance-ae-signal-detection"
"Triage screening hits or compare a compound series by developability.","ADMET-AI;ChEMBL approved small-molecule reference set;RDKit","adjustText;seaborn and matplotlib","Absolute ADMET predictions without percentiles;Physicochemical-and-drug-likeness-only analysis;PNG figures","molecular-property-admet"
"Unsupervised cell clustering and marker-based population annotation","CATALYST and FlowSOM","OpenCyto","Descriptive abundance summaries","flow-cytometry-analysis"
"V/J gene-segment usage and cross-sample similarity analysis","immunarch 0.9.1","McPAS-TCR or VDJdb","Bounded 10x Genomics demonstration V(D)J samples","immune-repertoire-airr"
"Validate a locked panel in an independent cohort when one is supplied.","User expression matrix and binary-outcome metadata","MARS Consortium sepsis demonstration dataset","Same-platform validation cohort","elastic-net-biomarker-panel"
"Validate bulk RNA-seq FASTQ files, align or quantify reads with STAR or Salmon, infer strandedness, construct gene counts, and prepare a DESeq2 or edgeR hand-off.","Local self-contained execution","HPC production execution","Chromosome or read-subset validation mode","rnaseq-fastq-to-counts"
"Validate primer thermodynamics, dimers, secondary structure, and specificity at a stated validation level.","Packaged primer-design, validation, report, and export scripts.;User-supplied target sequence or resolvable accession.","Local blastn with a genomic or transcriptomic database.;NCBI Primer-BLAST.;Packaged best-practice, parameter, troubleshooting, MIQE, and code-example references.","CSV files mirroring workbook sheets.;reportlab PDF generation.;Transcript-only in-silico PCR with qualified specificity_status.","pcr-primer-design"
"Validate simulated type-I/FWER behavior and agreement with an rpact analytic benchmark before reporting operating characteristics.","rpact analytic design calculations.","Package design-methods, validation-guide, configuration-schema, and caveat references.","","clinical-trial-design-simulation"
"Visualize interaction counts, strengths, pathways, and sender-receiver roles.","CellChat v2","Seurat","Packaged Markdown or HTML report fallback","cell-cell-communication"
